,faculty,price,purpose1,purpose2,purpose3,freaquency,gender,class label
96,0,3,5,0,5,1,2,Laptop (Notebook)
97,3,6,4,0,7,0,2,Laptop (Notebook)
98,2,3,0,4,7,2,2,"Tablet (Ipad , Galaxy Tabs)"
99,2,6,6,7,7,2,0,Laptop (Notebook)
100,3,6,5,7,0,2,0,Laptop (Notebook)
101,2,2,5,7,1,1,1,Laptop (Notebook)
102,2,1,0,4,7,1,1,"Tablet (Ipad , Galaxy Tabs)"
103,2,0,0,7,3,2,1,"Tablet (Ipad , Galaxy Tabs)"
104,2,1,0,4,7,1,2,"Tablet (Ipad , Galaxy Tabs)"
105,2,3,0,5,4,1,2,Laptop (Notebook)
106,3,1,0,4,7,2,2,"Tablet (Ipad , Galaxy Tabs)"
107,3,6,4,7,6,0,1,"Tablet (Ipad , Galaxy Tabs)"
108,3,1,0,6,5,1,2,"Tablet (Ipad , Galaxy Tabs)"
109,5,2,1,4,0,0,1,Laptop (Notebook)
110,2,6,0,6,2,3,2,Laptop (Notebook)
111,6,1,0,4,3,0,2,Laptop (Notebook)
112,2,0,0,4,3,1,2,Laptop (Notebook)
113,8,6,5,1,0,1,1,Laptop (Notebook)
114,2,2,0,6,4,0,2,Laptop (Notebook)
115,7,1,6,0,4,0,1,Laptop (Notebook)
116,3,2,6,6,0,2,1,Laptop (Notebook)
117,2,1,0,6,4,2,2,"Tablet (Ipad , Galaxy Tabs)"
118,2,1,6,0,4,0,1,Laptop (Notebook)
119,2,2,0,4,5,3,2,Laptop (Notebook)
120,3,1,0,4,7,2,1,"Tablet (Ipad , Galaxy Tabs)"
121,2,2,6,0,4,2,1,"Tablet (Ipad , Galaxy Tabs)"
122,2,3,6,6,1,0,1,Laptop (Notebook)
123,2,1,0,4,7,2,2,"Tablet (Ipad , Galaxy Tabs)"
124,2,1,0,5,1,3,1,Laptop (Notebook)
125,1,0,0,7,4,2,2,"Tablet (Ipad , Galaxy Tabs)"
126,3,6,0,4,7,2,2,"Tablet (Ipad , Galaxy Tabs)"
127,2,1,0,3,4,2,2,"Tablet (Ipad , Galaxy Tabs)"
128,3,0,0,4,7,1,2,"Tablet (Ipad , Galaxy Tabs)"
129,7,2,0,4,7,2,2,"Tablet (Ipad , Galaxy Tabs)"
130,8,6,5,1,7,2,1,"Tablet (Ipad , Galaxy Tabs)"
131,1,0,0,4,3,2,2,"Tablet (Ipad , Galaxy Tabs)"
132,3,6,5,0,4,2,1,Laptop (Notebook)
133,11,6,0,7,2,3,2,Laptop (Notebook)
134,8,6,5,0,4,2,2,Laptop (Notebook)
